Country/Region,Cumulative number of case(s),Number of new cases since last WHO update,Number of deaths,Number recovered,Local chain(s) of transmission
Australia,4,0,0,3,None
Brazil,2,0,0,2,None
Bulgaria,1,0,0,0,None
Canada,140,0,15,74,Yes
China,2601,179,115,1277,Yes
"China, Hong Kong Special Administrative Region",1510,22,115,614,Yes
"China, Taiwan",41,4,0,21,Yes
France,5,0,0,1,None
Germany,7,0,0,6,None
India,1,0,0,1,None
Indonesia,1,0,0,1,None
Italy,4,0,0,3,None
Japan,2,0,0,0,None
Kuwait,1,0,0,1,None
Malaysia,5,0,2,2,None
Mongolia,3,0,0,3,None
Philippines,2,0,1,1,None
Republic of Ireland,1,0,0,1,None
Romania,1,0,0,1,None
Singapore,195,3,19,126,Yes
South Africa,1,0,0,0,None
Spain,1,0,0,1,None
Sweden,3,0,0,2,None
Switzerland,1,0,0,1,None
Thailand,8,0,2,5,None
United Kingdom,6,0,0,6,Yes
United States,39,2,0,NaN,Yes
Viet Nam,63,0,5,53,Yes
Total,4649,210,274,2206,
