Country/Region,Cumulative number of case(s),Number of new cases since last WHO update,Number of deaths,Number recovered
Australia,4,0,0,4
Brazil,2,0,0,2
Bulgaria,1,0,0,0
Canada,148,0,22,93
China,4280,323,206,1433
"China, Hong Kong Special Administrative Region",1637,16,187,930
"China, Macao Special Administrative Region",1,0,0,0
"China, Taiwan",116,16,8,25
France,5,0,0,4
Germany,7,0,0,7
Indonesia,2,0,0,1
Italy,9,0,0,4
Kuwait,1,0,0,1
Malaysia,7,1,2,4
Mongolia,8,0,0,4
New Zealand,1,0,0,1
Philippines,3,0,2,1
Poland,1,0,0,0
Republic of Ireland,1,0,0,1
Republic of Korea,1,0,0,0
Romania,1,0,0,1
Singapore,204,1,26,149
South Africa,1,0,1,0
Spain,1,0,0,1
Sweden,3,0,0,2
Switzerland,1,0,0,1
Thailand,7,0,2,5
United Kingdom,6,0,0,6
United States,61,7,0,26
Viet Nam,63,0,5,58
Total,6583,364,461,2764
