地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,44577,44940,48040,49931,52354,52481,132333,129918,126130,121373,117118,9275,2482,2261,41463,24940,22103,16630,13009,9878
天津市,12259,12538,13741,14219,14530,14556,24483,22054,21883,21090,20850,5253,3807,2961,2457,2109,1870,1780,1820,1671
河北省,35133,38494,39925,43563,51151,52956,97218,91857,83289,70579,66242,82648,77931,75402,72500,60767,71081,67377,60341,56862
山西省,15719,17333,18702,22085,27091,28487,33662,32866,32606,31122,31397,39632,38416,36456,35688,34328,35480,30168,28821,26252
内蒙古自治区,7823,9421,10347,11017,13494,16184,23310,21807,19830,17998,16207,35039,31817,28604,25510,20831,22421,21041,20061,18576
辽宁省,56355,57665,59054,60269,80789,78168,90650,86013,87699,81585,77510,59562,53317,49917,47370,41076,43554,41207,40385,38382
吉林省,23372,25203,27186,29013,27866,27403,66175,61830,58577,52723,50511,26506,24198,22870,22293,20112,19904,19001,18170,17352
黑龙江省,20739,23917,28550,32632,36379,35102,41551,39424,36001,32947,31379,54592,51023,46809,42170,39347,41490,41111,39864,38562
上海市,3151,3420,3402,3766,3754,3476,3748,3477,3634,2995,2934,2872,2784,2468,2465,2052,2046,1508,1282,1127
江苏省,97025,104566,113494,119800,137270,135555,255358,235673,215850,191001,174000,179206,153725,138287,122218,118046,110139,105105,101713,95564
浙江省,72013,80099,83033,92304,112915,121185,220517,218415,215708,188364,206110,179501,165441,152222,142177,133968,128980,126008,116996,111771
安徽省,50770,57365,70523,78072,131403,119433,206888,179440,153697,135984,124427,82247,74668,68927,65075,59544,62087,58245,58026,57120
福建省,34081,37585,39137,40394,48580,46895,75044,73259,70714,71586,68409,60088,55713,52452,50862,45483,46570,44926,65038,63136
江西省,49302,52506,53366,53687,59674,57915,77650,72527,70628,64770,60573,38644,38454,37253,35312,33196,34183,32423,31966,30549
山东省,50044,49111,48823,46960,62052,64019,254711,241457,240044,226134,205917,117309,103298,93178,84290,72754,71803,67646,61237,56846
河南省,93707,98753,106415,112535,128279,125450,197785,184213,158630,136279,122414,115460,101345,91920,85016,76301,85078,80259,79017,73493
湖北省,80990,86772,88221,87953,87803,80670,118369,104971,96873,88703,82532,77514,69335,66183,63127,58371,58523,58210,58896,55894
湖南省,91007,100390,108627,119266,150583,149015,174386,161980,148235,133359,124274,116780,112135,109728,99975,90353,91653,85971,81005,81675
广东省,105249,105919,102094,98050,157234,133305,556510,493618,442224,406704,462997,186835,175567,139158,131435,122265,108509,106093,99417,85611
广西壮族自治区,36134,38083,39750,41522,46623,45606,86449,79300,72208,65405,60645,57351,52609,48740,45578,40524,42459,41020,39321,37412
海南省,9637,10107,9920,10363,11042,10583,44374,43677,42785,39461,36578,39050,30044,25705,24981,24037,22979,20728,19392,17836
重庆市,52150,53307,55594,57556,63630,61243,152249,136142,122125,110150,102680,73316,58179,60588,60833,55673,58512,55742,53170,48343
四川省,81462,94098,109716,124014,126691,124145,266338,242615,230988,211288,196055,196871,184852,159450,150176,133782,135609,126131,117108,107907
贵州省,84053,83809,82199,80621,80231,77359,77172,66303,65452,59981,36019,70377,65786,61414,56077,52695,53478,52154,50397,46807
云南省,34642,38569,41208,43688,44502,43392,44839,41394,36230,32775,31157,42913,40861,38509,36502,33039,36726,37909,31586,30796
西藏自治区,1047,999,889,871,1408,1326,3739,3659,8066,7759,6786,460,445,385,256,125,128,125,95,78
陕西省,60269,58580,61093,61436,66720,63650,105647,101062,87457,79033,70566,43555,38606,34780,31763,28159,28663,27500,25600,25000
甘肃省,36634,38080,37932,37240,36224,33556,61884,58355,51404,47755,43962,18510,17319,16247,15050,13732,13420,12560,11624,11223
青海省,5092,5070,4873,4596,4769,4140,12100,11308,10439,9603,8996,5214,4861,4525,4193,3870,3556,3428,3250,3055
宁夏回族自治区,5342,6518,7910,8444,8311,7568,15666,14440,12919,12034,11363,7752,7191,6757,6359,5605,5832,5525,5252,4860
新疆维吾尔自治区,17394,23568,28993,33229,34847,38640,36206,33166,30413,28541,31506,26348,24278,23225,21355,17251,16421,15267,13533,15366
