地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,99.87,99.40,117.67,130.12,138.30,136.08,304.78,303.67,290.65,267.71,240.96,147.42,79.19,59.47,158.20,69.30,60.40,52.98,52.76,40.06
天津市,76.40,72.83,78.39,81.70,88.47,88.56,150.43,133.92,131.81,126.90,120.58,44.70,35.64,26.46,24.00,21.60,22.70,22.05,18.64,17.30
河北省,227.61,239.94,244.18,268.44,290.48,296.53,578.17,522.08,442.25,370.90,352.58,569.80,516.12,485.33,466.30,396.70,482.60,445.35,405.63,391.71
山西省,159.64,150.36,141.14,164.53,181.99,196.62,230.61,219.91,215.70,210.32,242.54,207.14,189.71,180.94,180.20,162.20,164.40,149.34,135.90,120.74
内蒙古自治区,122.43,142.65,152.75,160.34,161.40,173.44,264.04,241.17,218.21,198.38,179.66,219.46,199.47,177.68,155.30,122.10,130.70,121.93,116.29,108.18
辽宁省,291.46,298.85,306.70,313.09,375.61,362.43,427.18,399.68,388.75,350.08,323.00,263.50,236.56,210.08,194.90,164.10,173.80,167.07,159.86,149.60
吉林省,153.77,162.99,168.72,177.82,173.27,168.70,306.76,286.53,269.58,228.58,212.93,112.49,100.24,92.80,90.00,84.40,84.20,79.51,76.79,73.29
黑龙江省,154.13,177.07,200.10,229.56,231.23,216.07,296.81,273.89,243.19,226.87,213.56,313.90,280.60,254.32,225.80,203.40,221.80,219.07,214.48,206.70
上海市,105.82,116.67,114.98,125.45,124.34,119.12,112.72,106.74,115.44,99.57,94.07,94.02,86.85,75.06,72.10,58.00,50.40,42.31,34.11,30.70
江苏省,716.64,746.89,779.98,825.45,852.00,847.28,1418.39,1307.32,1196.59,1058.01,951.53,1241.13,1062.61,948.10,855.40,774.10,719.10,682.25,594.48,554.10
浙江省,402.80,431.56,465.12,544.76,558.06,582.99,921.18,908.15,882.04,804.46,821.57,761.07,681.39,617.87,571.50,531.60,519.20,479.53,449.51,433.50
安徽省,376.89,407.11,491.27,574.88,799.37,733.99,1327.68,1151.60,1010.19,891.18,791.75,604.12,531.26,481.25,426.90,396.70,371.10,323.43,314.11,300.90
福建省,212.04,227.83,251.95,267.29,334.95,330.64,368.52,360.15,346.68,360.26,338.06,375.46,335.28,309.99,286.50,257.50,264.90,254.37,330.03,288.20
江西省,260.97,277.29,282.34,284.74,316.48,307.69,371.89,340.90,330.48,279.22,260.66,219.47,214.60,203.72,198.00,181.30,179.70,172.05,171.33,153.10
山东省,493.57,481.04,472.40,471.37,511.41,520.34,1309.95,1256.91,1211.51,1197.23,1045.69,720.22,601.28,539.10,475.50,397.70,398.00,361.68,323.46,297.50
河南省,711.19,736.62,760.57,743.91,844.86,712.39,1309.58,1211.28,1031.18,914.80,808.32,601.81,492.72,437.84,395.40,350.00,390.00,369.41,353.78,342.60
湖北省,453.44,482.27,487.33,489.29,483.89,415.07,804.07,700.06,631.39,562.34,522.57,423.80,374.83,358.01,336.60,309.40,317.00,293.66,297.46,272.50
湖南省,479.93,526.60,577.03,635.64,776.48,721.93,853.96,778.04,683.58,601.11,565.64,548.12,512.24,480.57,449.70,384.70,384.90,337.90,318.37,310.70
广东省,1120.71,1129.53,1079.80,1034.94,1629.79,1202.48,2470.11,2082.68,1736.34,1470.06,1276.12,1410.72,1212.77,1111.57,1066.40,987.80,995.50,841.28,685.39,580.20
广西壮族自治区,351.10,370.38,390.05,410.82,413.23,415.73,857.98,776.51,695.32,618.28,563.52,520.03,471.43,438.77,410.60,367.40,382.70,372.07,347.94,332.30
海南省,74.38,77.51,75.36,79.29,89.08,84.98,147.63,146.34,150.03,135.10,120.91,101.94,96.67,86.85,83.40,76.20,73.60,62.45,57.72,51.90
重庆市,260.43,289.54,336.75,376.45,352.58,333.27,470.63,408.91,351.03,301.33,280.44,262.98,212.51,227.22,226.10,187.50,193.90,183.72,170.14,155.00
四川省,466.14,521.29,597.84,671.63,630.03,599.15,1004.71,900.68,802.23,771.33,757.32,570.47,530.76,497.79,467.70,400.10,422.00,383.55,358.68,332.70
贵州省,469.08,463.93,443.10,422.79,412.92,377.87,426.80,343.17,281.02,240.11,227.79,206.40,186.91,164.91,150.80,135.30,133.60,125.76,116.54,110.00
云南省,269.63,308.27,319.99,330.21,321.06,323.10,470.20,424.57,352.10,302.22,272.98,265.80,247.71,233.12,227.20,192.90,210.10,232.76,171.24,164.20
西藏自治区,27.97,26.66,23.74,24.20,32.78,31.01,23.20,22.50,22.77,21.73,24.14,18.95,18.60,18.42,14.80,5.50,5.70,5.27,4.11,4.10
陕西省,286.98,289.15,290.80,293.23,339.02,323.14,488.55,462.89,383.99,337.66,298.70,244.30,222.03,206.54,194.30,174.30,170.70,165.61,151.04,130.10
甘肃省,233.31,247.76,253.26,248.75,229.02,212.01,286.44,265.07,220.15,206.58,196.71,120.93,113.00,104.89,96.30,87.20,84.10,77.77,70.64,66.00
青海省,50.77,49.77,47.50,44.65,46.50,40.33,59.50,55.64,50.21,45.56,42.46,28.07,26.23,24.66,23.20,21.70,20.10,19.59,18.20,17.10
宁夏回族自治区,47.46,55.84,64.42,68.04,65.68,58.34,79.69,72.37,65.31,61.02,57.53,46.50,43.16,40.27,38.20,33.50,35.50,33.37,31.38,28.60
新疆维吾尔自治区,123.15,157.57,213.47,249.27,279.81,319.62,325.38,296.92,271.12,252.53,271.83,242.04,218.46,198.51,187.00,161.30,143.40,130.00,107.39,135.90
