地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,254.43,253.16,268.49,279.43,273.93,254.04,421.16,412.33,390.19,361.26,331.18,238.27,168.26,137.07,232.10,131.80,126.00,121.20,118.18,98.45
天津市,276.51,266.91,262.05,252.30,246.74,267.09,314.66,285.10,269.03,250.15,233.88,147.36,132.54,117.50,108.80,91.70,97.00,94.08,91.63,86.57
河北省,1289.20,1282.78,1238.12,1213.21,1276.66,1163.72,1369.20,1306.58,1172.86,1043.30,991.75,1165.28,1068.57,989.77,945.40,780.50,900.00,860.95,795.81,740.11
山西省,393.95,373.76,360.56,380.05,384.51,386.55,423.07,415.81,371.79,352.12,376.91,329.71,300.17,289.43,285.10,246.80,253.80,239.96,219.26,198.17
内蒙古自治区,337.14,362.66,374.97,371.14,363.13,360.51,436.45,410.45,388.50,359.96,331.27,354.43,321.69,287.34,256.40,204.80,219.50,209.31,200.11,186.84
辽宁省,938.79,939.83,936.09,923.76,991.22,941.67,976.99,955.80,905.30,840.69,796.82,708.52,658.43,599.86,574.80,480.80,524.50,513.06,495.76,462.16
吉林省,427.28,425.36,431.27,430.31,424.47,413.71,536.22,515.76,475.70,426.56,404.56,294.47,262.95,244.70,236.90,206.90,217.00,212.24,206.67,196.87
黑龙江省,433.75,452.05,471.08,487.54,493.09,473.31,559.55,541.60,503.00,466.28,441.18,528.12,475.85,432.20,399.40,354.90,387.10,382.49,377.38,366.84
上海市,218.70,224.81,214.42,215.21,209.87,195.00,182.08,170.87,181.02,156.99,147.90,151.50,142.67,128.39,122.90,100.80,95.10,84.57,73.60,69.08
江苏省,1539.34,1515.26,1468.48,1453.69,1455.21,1365.25,1872.39,1709.70,1549.54,1370.79,1271.49,1551.29,1330.70,1193.60,1083.60,957.60,905.20,860.00,762.72,713.86
浙江省,1103.66,1096.04,1074.99,1092.53,1076.76,1025.10,1317.60,1296.25,1250.73,1103.21,1118.72,1026.49,929.15,848.49,795.30,718.40,706.80,653.27,609.79,585.34
安徽省,1163.66,1153.69,1187.36,1218.22,1417.34,1286.26,1824.57,1627.16,1478.51,1302.63,1187.20,946.70,864.09,782.40,709.00,620.90,602.10,541.96,518.98,491.73
福建省,599.99,604.23,593.27,575.48,622.73,542.69,556.02,534.85,486.50,465.66,448.02,478.19,432.12,397.06,371.90,334.00,343.20,330.31,403.91,356.68
江西省,993.73,1000.29,970.67,953.81,971.35,930.69,956.26,941.38,895.58,790.14,790.87,700.16,644.56,592.40,554.60,482.10,489.10,446.40,418.90,368.95
山东省,1289.61,1247.26,1188.92,1147.32,1143.60,1083.75,1836.14,1740.41,1658.31,1601.25,1430.73,1071.50,930.15,827.78,748.00,623.20,642.10,600.62,549.09,507.28
河南省,1775.09,1761.74,1684.27,1630.59,1746.03,1574.69,2084.02,1989.06,1797.74,1615.13,1498.13,1253.07,1094.39,998.26,937.50,812.30,839.80,799.79,759.35,704.20
湖北省,1258.91,1278.14,1232.32,1218.68,1209.01,1052.37,1361.47,1236.19,1064.71,938.91,903.87,776.11,698.45,663.01,623.00,545.40,565.20,518.76,512.62,458.70
湖南省,1463.10,1500.54,1500.85,1527.52,1660.69,1565.06,1636.84,1565.38,1402.60,1233.44,1217.49,1153.23,1073.73,1011.47,948.90,817.90,811.30,710.70,714.59,662.88
广东省,2085.59,2012.47,1887.45,1796.52,2315.37,1780.93,2998.23,2600.23,2203.44,1886.79,1705.55,1810.46,1573.15,1448.36,1383.00,1262.80,1279.70,1130.32,937.03,802.90
广西壮族自治区,816.65,778.31,743.83,731.75,652.68,611.33,1047.98,973.00,879.09,787.30,731.87,676.86,607.71,557.74,516.20,463.40,489.00,475.23,451.47,428.55
海南省,130.54,129.29,120.36,112.93,120.48,112.40,173.05,170.92,154.90,139.25,124.92,105.24,99.66,89.52,85.40,78.20,75.90,65.15,60.45,53.88
重庆市,493.10,496.34,506.29,533.55,507.13,465.43,597.87,536.00,461.68,410.08,385.93,353.00,269.99,280.04,275.70,235.70,259.30,249.99,242.68,227.52
四川省,878.30,881.52,941.60,987.76,954.66,912.12,1310.25,1198.35,1066.14,1004.67,987.83,797.22,740.99,682.34,640.60,547.90,579.60,530.46,496.80,463.01
贵州省,798.67,720.13,674.86,658.23,635.50,593.62,631.85,552.91,474.97,406.61,394.23,369.20,349.82,312.40,278.20,248.60,250.80,251.06,238.36,229.27
云南省,431.57,453.39,446.06,456.58,437.32,431.85,568.69,521.99,439.94,376.13,346.71,337.49,313.29,291.02,277.60,229.50,245.80,269.21,205.51,200.15
西藏自治区,46.83,44.76,39.78,38.28,45.12,42.41,33.46,32.88,32.21,29.98,30.39,26.96,22.05,18.42,14.80,5.50,5.70,5.27,4.11,4.10
陕西省,797.97,760.86,755.67,758.30,804.42,745.22,897.97,868.80,747.06,680.59,649.61,564.40,517.51,486.20,450.30,382.60,378.70,358.60,331.09,294.48
甘肃省,634.71,619.65,613.39,619.65,607.05,595.41,666.41,629.48,539.70,495.90,468.46,375.75,347.21,302.90,281.50,243.60,247.20,249.53,226.00,208.42
青海省,141.01,136.80,125.11,119.18,102.89,95.30,110.11,105.44,94.88,85.49,76.09,66.73,51.18,43.35,41.80,38.00,36.20,32.95,29.71,26.46
宁夏回族自治区,88.31,99.19,109.72,115.52,114.24,102.95,120.97,113.86,98.81,91.75,86.59,72.98,67.48,62.42,59.40,51.00,53.40,51.35,52.07,47.71
新疆维吾尔自治区,405.76,428.54,458.06,477.29,500.00,544.46,535.81,488.53,420.82,386.68,403.74,370.13,338.04,306.17,288.70,249.80,231.20,215.03,186.78,201.47
