地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,0.00,0.00,0.00,,,0.00,,,,,,,,,,,,,,
天津市,0.21,0.18,0.15,0.14,0.15,0.10,0.26,0.33,0.32,0.17,0.17,0.39,0.39,0.35,0.30,0.00,0.33,0.00,0.26,0.25
河北省,0.19,0.12,0.39,0.34,0.28,0.00,,,,,,,,,,,,,,
山西省,0.08,0.11,0.10,0.09,0.13,0.11,0.09,0.12,,,,,,,,0.00,,0.00,,
内蒙古自治区,0.00,0.00,0.00,,,0.00,,,,,,,,,,,,,,
辽宁省,6.05,6.06,6.01,5.97,6.52,6.52,7.50,7.04,6.39,7.04,7.78,8.39,9.16,8.39,8.40,7.20,8.60,8.43,10.68,11.90
吉林省,0.18,0.17,0.21,0.27,0.25,0.25,0.33,0.29,0.20,0.27,0.43,0.14,0.09,0.09,0.10,0.10,0.10,0.09,0.06,0.10
黑龙江省,0.36,0.38,0.39,0.41,0.40,0.40,0.37,0.37,0.35,0.34,0.29,0.32,0.32,0.31,0.30,0.30,0.10,0.08,0.07,0.10
上海市,0.79,0.79,0.71,0.81,1.06,0.62,0.99,1.02,5.42,6.29,0.62,6.13,4.59,4.47,4.50,4.70,5.10,4.46,4.09,4.20
江苏省,3.47,3.22,2.39,2.70,3.03,3.97,1.39,1.53,1.37,1.29,0.73,0.33,0.10,0.11,0.30,0.50,0.70,1.06,1.45,1.40
浙江省,6.30,6.31,5.84,5.84,5.56,5.09,6.16,6.44,6.03,7.45,7.39,6.91,6.71,7.67,7.40,5.70,6.70,7.78,8.88,9.20
安徽省,0.39,0.41,0.41,0.38,0.32,0.19,0.29,0.32,0.27,0.22,0.32,0.82,0.65,0.31,0.50,0.40,0.70,0.90,1.71,1.80
福建省,2.75,2.78,2.72,2.84,2.87,2.85,2.72,2.41,2.14,1.83,1.67,1.75,1.50,1.39,1.30,1.10,1.00,1.13,1.44,1.40
江西省,0.34,0.34,0.34,0.35,0.37,0.36,0.32,0.30,0.32,0.39,0.29,0.59,0.62,0.71,0.80,0.80,1.00,1.06,1.20,1.30
山东省,12.76,12.07,12.00,11.64,11.81,11.01,12.50,11.88,11.85,9.97,6.04,8.18,6.63,6.00,5.60,5.20,4.80,4.86,3.35,4.10
河南省,0.61,0.63,0.57,0.54,0.54,0.37,0.60,0.65,0.60,0.52,0.49,0.78,0.55,0.53,0.50,0.20,0.30,0.32,0.30,0.30
湖北省,4.74,4.06,3.35,3.32,2.93,3.24,2.99,2.60,2.79,2.49,2.31,5.30,5.14,4.23,3.30,3.70,2.80,10.09,12.44,15.80
湖南省,3.63,3.47,3.22,3.07,2.84,2.85,2.63,2.74,1.69,1.01,0.82,1.19,1.42,1.94,2.40,2.40,3.20,3.23,3.55,3.80
广东省,11.13,10.85,10.34,10.50,10.67,8.37,10.01,9.63,8.31,7.06,7.54,10.98,12.14,8.89,8.90,7.90,8.80,9.06,9.23,9.70
广西壮族自治区,3.29,3.32,2.70,2.71,2.48,1.92,2.28,2.01,1.78,1.70,1.65,3.28,3.01,2.58,2.60,2.30,2.70,2.63,2.54,2.50
海南省,4.10,3.84,3.46,3.46,3.33,2.17,3.15,3.11,2.72,2.40,2.43,2.37,2.15,1.58,1.80,1.80,2.20,2.60,2.60,1.80
重庆市,5.59,5.68,5.10,6.08,7.57,7.26,11.32,11.07,10.21,10.36,9.99,12.63,11.54,11.75,11.50,13.50,27.80,25.78,31.14,32.30
四川省,1.91,2.23,2.43,2.63,2.65,2.88,2.73,2.63,2.31,2.24,2.65,2.90,2.90,2.78,2.80,2.40,2.50,3.76,3.43,3.50
贵州省,6.77,6.72,5.76,5.52,5.19,4.54,5.85,5.15,4.57,4.09,3.44,2.29,1.93,1.78,1.60,1.20,1.10,1.08,1.03,0.90
云南省,3.02,2.88,2.70,2.50,2.37,2.23,2.02,1.96,1.78,1.55,1.54,1.21,1.17,1.05,0.90,0.90,0.80,0.82,0.78,0.60
西藏自治区,0.00,0.00,0.00,,,0.00,,,,,,,,,,,,,,
陕西省,0.62,0.68,0.70,0.64,0.66,0.70,0.58,0.54,0.43,0.37,0.32,0.63,0.60,0.58,0.60,0.50,0.50,0.44,0.40,0.40
甘肃省,0.13,0.17,0.17,0.17,0.17,0.16,0.21,0.22,0.21,0.21,0.21,0.23,0.23,0.22,0.20,0.20,0.20,0.19,0.17,0.20
青海省,0.10,0.09,0.08,0.09,0.08,0.07,0.07,0.06,0.05,0.05,,,,,,,,,,
宁夏回族自治区,0.07,0.09,0.10,0.11,0.10,0.10,0.13,0.13,0.12,,,,,,,,,,,
新疆维吾尔自治区,0.00,0.00,0.00,,,0.00,,,,,,,,,,,,,,
