地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,154.57,153.76,150.82,149.31,135.63,117.96,116.38,108.66,99.54,93.55,90.22,90.84,89.07,77.60,73.90,62.50,65.70,68.22,65.40,58.35
天津市,199.90,193.90,183.51,170.47,158.12,178.43,163.97,150.85,136.91,123.08,113.12,102.28,96.51,90.70,84.80,70.10,74.20,72.01,73.00,69.27
河北省,1061.40,1042.72,993.55,944.43,985.91,867.18,791.03,784.50,730.61,672.40,639.17,595.48,552.45,504.44,479.10,383.80,417.40,415.60,390.20,348.41
山西省,234.23,223.29,219.31,215.42,202.38,189.82,192.37,195.78,156.04,141.77,134.35,122.53,110.44,108.49,104.90,84.60,89.40,90.61,83.40,77.47
内蒙古自治区,214.71,220.01,222.22,210.80,201.73,187.07,172.41,169.28,170.30,161.58,151.60,134.97,122.22,109.65,101.10,82.70,88.80,87.38,83.80,78.64
辽宁省,641.29,634.92,623.38,604.71,609.09,572.72,542.30,549.07,510.15,483.57,466.05,436.63,412.71,381.39,371.50,309.50,342.10,337.56,325.20,300.66
吉林省,273.33,262.21,262.33,252.22,250.95,244.76,229.14,228.94,205.93,197.71,191.20,181.84,162.62,151.85,146.80,122.40,132.70,132.63,129.80,123.47
黑龙江省,279.26,274.59,270.59,257.58,261.45,256.84,262.37,267.35,259.47,239.06,227.32,213.89,194.93,177.59,173.30,151.20,165.30,163.34,162.80,160.04
上海市,112.09,107.34,98.73,88.95,84.46,75.26,68.38,63.11,60.16,51.12,53.22,51.34,51.23,48.86,46.40,38.10,39.50,37.81,35.40,34.18
江苏省,819.23,765.15,686.11,625.54,600.17,514.01,452.62,400.84,351.58,311.50,319.23,309.83,267.98,245.38,227.90,183.00,185.40,176.69,166.80,158.36
浙江省,694.56,658.17,604.03,541.93,513.14,437.02,390.26,381.66,362.67,291.30,289.76,258.52,241.05,222.95,216.40,181.00,181.00,165.96,151.40,142.64
安徽省,786.38,746.17,695.69,642.95,617.64,552.08,496.59,475.24,468.06,411.23,395.13,341.77,332.18,300.86,281.60,223.80,230.30,217.62,203.20,189.03
福建省,385.20,373.61,338.61,305.34,284.91,209.21,184.78,172.30,137.68,103.57,108.29,100.98,95.34,85.68,84.10,75.30,77.30,74.81,72.40,67.08
江西省,732.42,722.66,687.99,668.72,654.50,622.63,584.06,600.18,564.78,510.53,529.91,480.10,429.34,387.97,355.80,299.90,308.40,273.29,246.40,214.55
山东省,783.28,754.14,704.52,664.31,620.38,552.41,513.69,471.62,434.94,394.05,379.00,343.09,322.24,282.68,267.00,220.20,239.40,234.08,222.30,205.68
河南省,1063.29,1024.49,923.13,886.14,900.63,861.93,773.83,777.13,765.96,699.81,689.33,650.49,601.12,559.89,541.60,462.10,449.50,430.06,405.30,361.30
湖北省,800.74,791.81,741.65,726.06,722.20,634.06,554.41,533.53,430.53,374.08,379.00,347.02,318.48,300.78,283.00,232.30,245.30,215.01,202.70,170.40
湖南省,979.54,970.47,920.60,888.82,881.37,840.28,780.25,784.59,717.34,631.31,651.03,603.92,560.06,528.96,496.80,430.80,423.10,369.57,392.70,348.38
广东省,953.75,872.08,797.30,751.08,674.92,570.07,518.11,507.93,458.79,409.67,421.89,388.76,348.25,327.90,307.70,267.10,275.40,279.98,242.40,213.00
广西壮族自治区,462.26,404.61,351.08,318.22,236.96,193.67,187.72,194.48,181.99,167.31,166.70,153.56,133.27,116.39,103.00,93.70,103.60,100.53,101.00,93.75
海南省,52.06,47.94,41.54,30.18,28.06,25.25,22.27,21.48,2.15,1.75,1.58,0.93,0.84,1.09,0.20,0.10,0.10,0.10,0.10,0.18
重庆市,227.09,201.12,164.45,151.03,146.98,124.90,115.93,116.02,100.44,98.39,95.51,77.39,45.94,41.08,38.10,34.80,37.60,40.49,41.40,40.22
四川省,410.25,358.00,341.32,313.51,321.98,310.09,302.81,295.04,261.61,231.10,227.86,223.85,207.34,181.77,170.10,145.30,155.00,143.15,134.70,126.81
贵州省,322.82,249.48,226.01,229.92,217.39,211.21,199.20,204.58,189.38,162.41,163.00,160.51,160.99,145.70,125.90,112.10,116.10,124.22,120.80,118.37
云南省,158.92,142.24,123.36,123.87,113.88,106.52,96.47,95.46,86.07,72.36,72.19,70.47,64.41,56.85,49.50,35.80,34.80,35.63,33.50,35.35
西藏自治区,18.86,18.10,16.04,14.09,12.34,11.40,10.25,10.38,9.44,8.25,6.24,8.01,3.45,,,,,,,0.00
陕西省,510.36,471.03,464.17,464.44,464.74,421.38,408.84,405.37,362.64,342.57,350.59,319.47,294.88,279.08,255.50,207.80,207.40,192.55,179.70,163.98
甘肃省,401.28,371.71,359.96,370.74,377.87,383.24,379.75,364.19,319.34,289.11,271.55,254.59,233.98,197.77,185.00,156.20,162.90,171.57,155.20,142.22
青海省,90.14,86.95,77.53,74.44,56.31,54.89,50.55,49.75,44.62,39.87,33.61,38.66,24.91,18.69,18.50,16.30,16.10,13.36,11.50,9.36
宁夏回族自治区,40.78,43.26,45.20,47.37,48.46,44.51,41.15,41.36,33.38,30.69,29.03,26.48,24.32,22.15,21.20,17.50,17.80,17.98,20.70,19.11
新疆维吾尔自治区,282.61,270.97,244.58,228.02,220.19,224.83,210.43,191.61,149.70,134.15,131.91,128.10,119.58,107.66,101.70,88.50,87.80,85.03,79.40,65.57
