地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,291,293,293,293,294,290,286,279,275,279,267,260,251,252,,,,,,
天津市,263,266,267,269,269,265,261,264,266,270,268,264,261,259,,,,,,
河北省,3292,3383,3487,3614,3741,3804,3877,3939,3993,3957,4060,4148,4224,4269,,,,,,
山西省,1546,1579,1612,1648,1686,1722,1760,1808,1857,1851,1872,1899,1923,1942,,,,,,
内蒙古自治区,945,961,978,997,1014,1031,1052,1077,1100,1146,1180,1211,1240,1269,,,,,,
辽宁省,1391,1420,1429,1431,1447,1473,1508,1576,1658,1721,1724,1754,1752,1743,,,,,,
吉林省,1148,1178,1203,1230,1244,1260,1273,1281,1281,1279,1279,1279,1281,1290,,,,,,
黑龙江省,1505,1538,1550,1570,1609,1634,1652,1668,1700,1703,1706,1763,1778,1792,,,,,,
上海市,288,297,293,299,252,251,255,251,246,252,244,233,222,206,,,,,,
江苏省,2447,2508,2582,2670,2769,2849,2930,3009,3102,3468,3547,3614,3682,3756,,,,,,
浙江省,1784,1810,1845,1894,1935,1979,2016,2060,2090,2221,2210,2206,2206,2195,,,,,,
安徽省,2865,2909,2975,3041,3093,3144,3204,3294,3395,3550,3650,3750,3843,3947,,,,,,
福建省,1347,1377,1410,1436,1454,1481,1514,1559,1584,1646,1710,1755,1778,1800,,,,,,
江西省,2044,2098,2154,2209,2261,2312,2364,2437,2496,2518,2580,2630,2661,2716,,,,,,
山东省,3900,3944,4076,4233,4404,4502,4607,4727,4823,4894,4935,4988,5017,5086,,,,,,
河南省,4638,4764,4909,5039,5171,5290,5415,5579,5784,5910,6032,6146,6342,6505,,,,,,
湖北省,2349,2402,2466,2525,2578,2638,2687,2774,2881,3089,3130,3174,3199,3243,,,,,,
湖南省,3034,3113,3223,3331,3417,3482,3542,3621,3725,3639,3691,3784,3887,3985,,,,,,
广东省,3324,3367,3388,3395,3432,3432,3454,3519,3531,3708,3624,3560,3494,3615,,,,,,
广西壮族自治区,2452,2481,2512,2539,2567,2604,2644,2703,2766,2952,2978,3040,3084,3093,,,,,,
海南省,382,389,396,409,418,423,429,434,436,440,444,446,451,454,,,,,,
重庆市,1070,1105,1140,1178,1209,1237,1267,1313,1355,1384,1420,1456,1497,1533,,,,,,
四川省,3979,4085,4196,4292,4371,4467,4561,4683,4812,5017,5094,5234,5367,5502,,,,,,
贵州省,1889,1932,1985,2047,2104,2177,2216,2256,2303,2480,2549,2606,2677,2728,,,,,,
云南省,2521,2559,2623,2687,2747,2789,2828,2927,3005,3017,3044,3088,3116,3138,,,,,,
西藏自治区,237,233,233,234,236,238,238,234,232,230,228,227,225,222,,,,,,
陕西省,1618,1657,1703,1748,1791,1833,1876,1973,2026,2106,2153,2202,2252,2316,,,,,,
甘肃省,1379,1408,1444,1477,1511,1546,1579,1612,1635,1664,1695,1726,1755,1781,,,,,,
青海省,275,281,287,292,293,298,301,306,311,324,328,331,333,330,,,,,,
宁夏回族自治区,283,287,295,299,307,314,319,321,330,337,340,342,344,344,,,,,,
新疆维吾尔自治区,1221,1238,1239,1245,1240,1257,1251,1247,1245,1298,1286,1275,1272,1264,,,,,,
