地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,648,656,638,631,608,596,573,550,544,522,529,,,,,,,,,
天津市,420,426,421,402,373,333,304,296,277,255,247,,,,,,,,,
河北省,2108,1846,1618,1543,1341,1268,1249,1247,1226,1123,1111,,,,,,,,,
山西省,1368,1388,1393,1274,1234,1219,1215,1206,1198,1163,1025,,,,,,,,,
内蒙古自治区,818,775,720,702,639,566,519,488,467,469,471,,,,,,,,,
辽宁省,1369,1268,1190,1020,962,905,860,831,821,829,854,,,,,,,,,
吉林省,780,654,662,616,582,576,576,560,568,560,568,,,,,,,,,
黑龙江省,1105,1089,1031,1012,1002,993,996,911,917,918,911,,,,,,,,,
上海市,358,363,349,338,332,328,320,308,306,296,299,,,,,,,,,
江苏省,1853,1727,1678,1581,1524,1490,1426,1283,1155,1114,1094,,,,,,,,,
浙江省,1288,1204,1130,1049,935,843,782,731,687,652,635,,,,,,,,,
安徽省,1140,1095,1039,1018,968,938,930,916,728,710,720,,,,,,,,,
福建省,641,606,587,570,557,541,519,482,455,411,332,,,,,,,,,
江西省,716,669,592,568,565,548,548,542,504,502,491,,,,,,,,,
山东省,2580,2451,2018,1927,1854,1783,1549,1490,1377,1319,1253,,,,,,,,,
河南省,1825,1632,1596,1521,1412,1402,1285,1220,1198,1193,1174,,,,,,,,,
湖北省,995,979,927,869,771,711,650,608,602,614,593,,,,,,,,,
湖南省,1552,1313,1260,1173,1018,922,798,782,752,768,767,,,,,,,,,
广东省,1553,1464,1381,1323,1260,1222,1186,1125,1088,1064,1028,,,,,,,,,
广西壮族自治区,624,589,543,527,486,476,469,465,450,460,450,,,,,,,,,
海南省,218,208,211,202,191,191,197,190,188,186,187,,,,,,,,,
重庆市,800,749,699,631,565,531,463,433,417,386,355,,,,,,,,,
四川省,2344,2219,2066,1942,1814,1716,1542,1387,1261,1187,1144,,,,,,,,,
贵州省,1309,1270,1220,1188,1067,991,772,621,554,532,475,,,,,,,,,
云南省,1280,1252,1187,1101,1060,997,926,845,780,720,692,,,,,,,,,
西藏自治区,158,148,145,139,112,106,104,103,101,100,99,,,,,,,,,
陕西省,1175,1150,1085,1014,977,937,888,871,828,815,816,,,,,,,,,
甘肃省,626,526,446,443,427,419,403,385,381,373,377,,,,,,,,,
青海省,220,212,199,181,185,145,142,131,129,129,126,,,,,,,,,
宁夏回族自治区,231,209,190,168,161,156,143,152,157,158,148,,,,,,,,,
新疆维吾尔自治区,907,919,919,914,878,860,836,820,802,763,741,,,,,,,,,
