地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,248,259,272,295,296,302,301,313,321,310,325,,,,,,,,,
天津市,270,284,278,272,254,220,201,195,183,167,160,,,,,,,,,
河北省,1470,1265,1086,1041,894,826,809,824,812,746,733,,,,,,,,,
山西省,654,684,693,654,638,637,638,632,632,613,576,,,,,,,,,
内蒙古自治区,424,422,402,409,379,353,325,308,296,298,303,,,,,,,,,
辽宁省,761,713,694,610,584,555,537,515,507,510,535,,,,,,,,,
吉林省,417,360,375,353,346,345,349,343,346,351,355,,,,,,,,,
黑龙江省,729,724,684,671,672,671,684,635,650,648,640,,,,,,,,,
上海市,171,180,181,181,182,185,186,180,185,179,183,,,,,,,,,
江苏省,1029,1015,1032,1013,999,991,964,849,754,722,715,,,,,,,,,
浙江省,555,529,505,485,444,405,392,368,354,353,357,,,,,,,,,
安徽省,723,701,678,670,640,633,641,644,501,489,495,,,,,,,,,
福建省,369,360,356,348,345,339,328,307,292,263,215,,,,,,,,,
江西省,450,427,382,364,371,359,360,356,329,332,331,,,,,,,,,
山东省,1550,1502,1250,1217,1195,1158,1016,974,917,892,855,,,,,,,,,
河南省,1118,1003,985,951,877,879,832,797,794,801,798,,,,,,,,,
湖北省,561,569,551,532,483,444,414,393,394,409,389,,,,,,,,,
湖南省,877,773,745,703,612,564,493,486,482,500,508,,,,,,,,,
广东省,882,844,813,793,760,740,727,694,674,678,666,,,,,,,,,
广西壮族自治区,365,350,330,325,298,295,290,292,285,292,299,,,,,,,,,
海南省,158,153,158,155,150,148,152,148,145,143,144,,,,,,,,,
重庆市,454,459,452,439,404,382,331,307,296,273,253,,,,,,,,,
四川省,1484,1444,1362,1291,1217,1144,1013,925,833,787,757,,,,,,,,,
贵州省,957,940,923,920,821,765,600,472,414,395,350,,,,,,,,,
云南省,843,838,787,725,706,670,636,586,535,495,480,,,,,,,,,
西藏自治区,108,109,105,102,88,85,84,83,82,82,81,,,,,,,,,
陕西省,764,766,740,704,694,664,628,622,597,588,586,,,,,,,,,
甘肃省,354,307,276,278,275,273,264,258,260,259,262,,,,,,,,,
青海省,124,122,113,112,114,89,86,79,79,80,81,,,,,,,,,
宁夏回族自治区,153,143,123,112,105,99,92,102,108,107,98,,,,,,,,,
新疆维吾尔自治区,671,676,689,705,681,667,648,641,624,602,589,,,,,,,,,
